restaurant,score,city,date_added,why
Condesa,0.9,Seattle,2026-03-26,Ghost town - do not revisit without strong reason
Osteria la Spiga,1.8,Seattle,2026-03-26,Ghost town - do not revisit without strong reason
Joule,3.7,Seattle,2026-03-26,Ghost town - do not revisit without strong reason
Pink Door,4.4,Seattle,2026-03-26,Ghost town - do not revisit without strong reason
Cook Weaver,5.0,Seattle,2026-03-26,Ghost town - do not revisit without strong reason
Walrus & Carpenter,6.4,Seattle,2026-03-26,Ghost town - do not revisit without strong reason
Tanglewood Supreme,,Seattle,2026-05-20,Permanently closed - was Magnolia fisherman-to-table bistro
Art of the Table,,Seattle,2026-05-20,Permanently closed - was Fremont chef-driven tasting menu
