spotify_uri,artist,track_name,first_seen_utc,playlist_uri,context
spotify:track:3GYlvip4QHNSM1ZtdxyfZt,Hum,Little Dipper,2026-01-05T20:54:50.636Z,,BasslineRequests
spotify:track:3HPn00Aw01wp4u0KZgLw5u,Spatia Sonica,Particles,2026-01-06T17:26:40.253Z,,BasslineRequests
spotify:track:3HRDr4iGCIH6IjYpduxVJl,Wavelab,Pink Noise Satisfaction,2026-02-01T19:05:01.401Z,,BasslineRequests
spotify:track:3IWYHjTX1s9R6yFcmHgnNt,TesseracT,Beneath My Skin / Mirror Image - P O R T A L S,2026-02-03T00:01:55.155Z,,BasslineRequests
spotify:track:3JOyNKgNwndDAOh4lh5gyV,neon cosmo,Space Musec,2026-01-06T17:33:01.072Z,,BasslineRequests
spotify:track:3JyvSSU0VnlMUsQckyEVfX,grandson,Darkside,2026-02-23T02:56:24.645Z,,AudioResolve
spotify:track:3K4HG9evC7dg3N0R9cYqk4,Linkin Park,One Step Closer,2026-03-03T16:22:05.587Z,spotify:playlist:7DOUp4LwMVEqpnPOF3oeRC,AddedToPlaylist
spotify:track:3KloC0pYp3DhAXofslSOO2,ZNoize,Silky Pink Noise,2026-02-02T23:21:00.864Z,,BasslineRequests
spotify:track:3MfoGE5zrBR5LtIIW6XO9u,Lavia 6,The Most Soothing Pink Noise,2026-02-02T23:21:00.864Z,,BasslineRequests
spotify:track:3MrUgo94zjBL8Jm4Hh8QDv,This Will Destroy You,Like This,2026-02-02T23:24:42.970Z,,BasslineRequests
spotify:track:3NDQ8JV6Ipbxa6QaQMVrtu,TesseracT,Phoenix - P O R T A L S,2026-02-03T00:01:55.155Z,,BasslineRequests
spotify:track:3NFHykZ6shIpJSgoFE20P4,Nina Maia,INTEIRA,2026-02-01T04:27:54.583Z,,BasslineRequests
spotify:track:3OzoK27KV6oj7SE7ABx8fo,Audioable Noise,Pink Aura of Calm,2026-02-01T20:06:00.995Z,,BasslineRequests
spotify:track:3Pkau3Ijw1Ebm9nsw1oZIY,Russian Circles,Philos,2026-01-28T23:08:36.533Z,,BasslineRequests
spotify:track:3PrvYgv97s5U752pIpDMNf,Avenged Sevenfold,M.I.A.,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:3QOpROhrfN6aYkqdoVy5lm,Decessus,Dark Flames,2026-03-03T16:22:05.587Z,spotify:playlist:7DOUp4LwMVEqpnPOF3oeRC,AddedToPlaylist
spotify:track:3Qa2mBS0IKfiRVzmYJbUHE,High Above The Clouds,Pink Static for Sleeping,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:3QasuD9xYZ6wrcDBgI8cna,Russian Circles,Batu,2026-03-11T20:22:21.401Z,,BasslineRequests
spotify:track:3QgRukqsiKsdNqa8U7MIeT,Deft,For Sudden,2026-03-21T23:42:04.663Z,spotify:playlist:7HRSsuGlxMuQjKPps1iOXv,AddedToPlaylist
spotify:track:3RL92qOlVwpt5KV9rlLV82,"Cool Company, Blood Cultures",Habit - Blood Cultures Remix,2026-01-11T17:43:12.988Z,,BasslineRequests
spotify:track:3S24rVYmTx8gWbaCfHbyaG,Nine Inch Nails,This Changes Everything,2025-12-31T19:57:36.787Z,,BasslineRequests
spotify:track:3SbAEO8htSBvn7ifUTPrep,James Madley,Light Beneath,2026-03-26T21:42:28.770Z,,BasslineRequests
spotify:track:3TAzauQySgTUaK7h52zeBe,Zamilska,Message,2026-01-11T04:14:14.382Z,,BasslineRequests
spotify:track:3V5mSraWwUfruXr2rpE6N4,Dream Fuzz,Pink Noise for the Dreamers,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:3V9cM3nCH2G66afoDi0snu,X Ambassadors,BOOM,2026-03-25T02:52:35.356Z,,AudioResolve
spotify:track:3VXrpkM94UBgL4voR20tZq,"ODESZA, The Chamanas",Everything At Your Feet,2026-03-07T01:13:20.183Z,,BasslineRequests
spotify:track:3WXfQDsASfXrSojk9WB3aR,"Joe Arroyo, La Verdad",En Barranquilla Me Quedo,2026-02-11T04:13:27.316Z,,BasslineRequests
spotify:track:3Wg3B7XlnEWsKBSb2IzGQ3,MARO,Still Feel It All,2026-03-25T05:30:41.645Z,,BasslineRequests
spotify:track:3XckH9nZTF2Y2gp6UoMotk,"Snarky Puppy, Metropole Orkest, Jules Buckley",It Stays With You,2025-12-31T17:01:33.678Z,,BasslineRequests
spotify:track:3XhWWMsoLhyYh16MJkAM6B,Månvarv,Constellation,2026-03-26T21:42:28.770Z,,BasslineRequests
spotify:track:3YnSvdiMEAlP5DrlMLyCoP,Nyron Higor,Fio de Lâmina,2026-01-11T06:16:05.320Z,,BasslineRequests
spotify:track:3Z5b3Q7OS6VqjRhy4koUZb,Mr. Bill,Gliitchake,2026-02-08T04:01:27.131Z,,BasslineRequests
spotify:track:3ZMX3XE6hZRTF2pBT6iJyc,Agnes Vidsjö,Oändlig,2026-01-07T18:51:49.645Z,,BasslineRequests
spotify:track:3ZXwtonxcZy9EjykI4fyM3,The Frequency Shifters,Princess Pink Noise,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:3Zmv7cotNyeWEMdGc7QOe2,"Sessa, СОЮЗ",Ponta de Faca - Demo,2026-01-12T06:12:41.818Z,,BasslineRequests
spotify:track:3Ztfe3UOfRkjTpajSYZ4qy,Dom Salvador & Abolição,Hei! Você,2026-01-12T16:02:30.583Z,,BasslineRequests
spotify:track:3aGqwI8kF0VkHFUBPzz7bl,Victoria Canal,15%,2026-02-03T06:20:48.769Z,,BasslineRequests
spotify:track:3bCdcWfeuVXTWjEMWOx5Vs,Iminum,Beyond Null,2026-03-26T21:42:28.897Z,,BasslineRequests
spotify:track:3bCmDqflFBHijgJfvtqev5,Brian Eno,1/1 - Remastered 2004,2026-01-07T00:05:47.197Z,,AudioResolve
spotify:track:3c4alQOl5iVtoPmschB1Dv,This Will Destroy You,Threads - Demo,2026-02-02T23:21:06.729Z,,BasslineRequests
spotify:track:3cIG78oBauowzEbkBwWADN,This Will Destroy You,They Move on Tracks of Never-Ending Light,2026-02-02T23:10:46.565Z,,BasslineRequests
spotify:track:3cZajhyr8LmtPfHZ9296tj,"Disco Lines, Tinashe",No Broke Boys,2026-01-01T05:36:01.622Z,,BasslineRequests
