spotify_id,artist,track_name,duration,date_added
36EbK9TFhkL6e3W4tUORw8,Dudu Moraes,"Eloiá",3:22,2026-01-11
4McQzaMrgt8AylDZHGQGVT,Mário Rui Silva,Lonjura,3:24,2026-01-11
2aQ8NyRJcsQFgb8jwUil90,Evinha,Que Bandeira,2:29,2026-01-11
6Hn9ZU7hZKAh1HsYMA26o8,Jorge Ben Jor,Xica Da Silva,4:03,2026-01-11
5bGMMNxjvlledmzq9dItvf,Rogê,Existe Uma Voz,3:46,2026-01-11
0FUfELSRqA1sjSAC7kLxfV,The Still Brothers; Marina B,Wake Up,2:01,2026-01-11
4ApvuCjlZNe3RoIFoBX29y,Edu Lobo,Zum-Zum,2:51,2026-01-11
3wSlHCwo05i7KgIhiCioFJ,The Circling Sun,Amina,4:04,2026-01-11
4f4zISn85uS9AZsvW5VZlH,Sessa,"Canção da Cura",2:36,2026-01-11
4gol2seczgmtlySCsdSsxa,Sessa,Ponta de Faca,2:54,2026-01-10
5g3mcO2QY4smxW4KW3NcT2,Nina Maia,CARICATURA,3:23,2026-01-10
77670vf8Kf4j1jtxRNTSJk,Mord Fustang,PURRITO,3:33,2026-01-05
56R9s9y7mWoHWxgFnRPX1i,Haywyre; Zeros,Permutate,4:05,2026-01-05
361AnXfEJHmjvDpTlJ7VpB,Blue Lab Beats,North London Pace,3:24,2025-12-31
3XckH9nZTF2Y2gp6UoMotk,Snarky Puppy; Metropole Orkest; Jules Buckley,"It Stays With You",10:53,2025-12-31
3oGWXOsz8OUmdoL57OlWIL,Terrace Martin; Ogi,Not Sharing,4:13,2025-12-30
5Z4YeqJLy2Ik0NYr0xlfh7,Brandee Younger,Gadabout Season,4:46,2025-12-30
0VcvKN17fqyvbznfwypjDB,Kokoroko,Da Du Dah,3:48,2025-12-30
3CA8Bx0aE8tuNYTy9OvVfW,Christopher Lee,The Little Drummer Boy,4:31,2025-12-24
7qt641kuazHzMIn4lbkns5,Peter Sandberg,Deep,4:30,2025-12-16
3U8DW25FSajJzQXgApAJ0B,Clark,Lambent Rag,3:24,2025-12-10
5aJph9adNgkyW6vFn66ils,Hot Sugar,The Girl Who Stole My Tamagotchi,3:38,2025-12-09
5fxJzPPvuvdhHypgme9cVX,Dizzy Gillespie,A Night In Tunisia,5:34,2025-12-09
54VBfy8Jmi9lIsbsdv5x4E,Jesus Molina; Sam Smith; Roni Kaspi,Night in Tunisia,3:36,2025-12-09
6VXWIXInuOLdrQBn0GTrLo,Chick Corea,Captain Marvel,4:58,2025-12-09
5RrJCusmR1J54b5ivqdWIu,Chick Corea; Return To Forever,Spain,9:51,2025-12-09
3TszbgtEGdsJE6vRnyFebO,System Of A Down,Sugar,2:34,2025-12-08
5Xak5fmy089t0FYmh3VJiY,Pearl Jam,Black,5:43,2025-12-08
26qvxre8pKtLTatKPYAR8Q,The Comet Is Coming,Super Zodiac,4:02,2025-12-08
5wqlRFdpJ1a4kMIBSWeCnN,The Prodigy; Pendulum,Voodoo People - Pendulum Mix,5:08,2025-12-05
186zi6pmNhtYzHBWUX5Opa,Kamasi Washington,Fists of Fury,9:43,2025-12-04
273VxALm722DRN4PNujOF8,Kamasi Washington,Clair de Lune,11:08,2025-12-04
7fkWpK1YcIMtM7PdMawgfY,Flea,A Plea,7:38,2025-12-04
6TQuiL5lY6mULveuvY1s7h,LCD Soundsystem,"new york i love you but you're bringing me down - live at madison square garden",9:55,2025-12-04
